id,first_name,last_name,personal_count,money,Currency
1,Harwilll,Pessold,4041598190965,33,CNY
2,Percy,Primarolo,3538900070485707,64,CNY
3,Umberto,Thornhill,3585680097886614,7,IDR
4,Sky,Pinsent,5395161940695234,60,EUR
5,Bentley,Normand,5007664774181221,39,HNL
6,Elana,Spavon,3589261268899862,4,CNY
7,Ole,Whyborne,3577119646346085,28,PLN
8,Merwin,Penson,4017951463074,24,IDR
9,Bertine,Spinige,5048378385339240,12,THB
10,Jeannette,Kneal,374622966750258,19,BRL
11,Carla,Joselovitch,5602239229949545,73,EUR
12,Berni,McCahill,201964651013298,97,DKK
13,Pen,Zipsell,5602229074230893,6,CNY
14,Bridget,Longforth,3542982017789452,6,CNY
15,Clem,Benitti,3562720168402466,88,EUR
16,Linea,Chaundy,5602228263776401,77,RUB
17,Nissy,Roloff,3563640342627649,12,RUB
18,Laverna,Baty,4175001887081932,19,CNY
19,Tobi,Norcop,4405794035048199,91,RUB
20,Sissy,Scryne,3556615462306900,42,MXN
21,Charmain,Wikey,3566417290272802,41,CAD
22,Dillon,Sheeres,5200781370201354,49,CAD
23,Wiley,Coggins,3549276863423172,3,PLN
24,Matteo,Drage,3566047696611525,2,SEK
25,Orsa,Tremblot,201531501574611,41,CZK
26,Courtney,Vorley,3530944516506799,61,CNY
27,Zaccaria,Carless,3570613817973856,89,EUR
28,Janos,Kenwrick,5602243216390648,70,CNY
29,Dominick,Shouler,3559855980521906,63,ETB
30,Fedora,Bucklee,30582507146265,49,PLN
31,Saba,Poleykett,4905887671046612133,87,EUR
32,Britta,Hairyes,3532519941564882,47,IDR
33,Manda,Melley,3576227687834777,41,MXN
34,Rossie,Heggman,372301371697840,57,SEK
35,Morgen,Kocher,4017955867386789,17,PHP
36,Burl,Heaney,36600474200792,81,NGN
37,Lia,Lindl,560223203086257478,37,CNY
38,Dru,Brabben,676318368513522602,28,KZT
39,Padget,Ziemen,3545081868233087,88,CNY
40,Eveline,Knowles,3551494985623547,34,UAH
41,Markos,Wragg,4844485098870418,18,IDR
42,Clayton,Alloisi,3551074101466128,65,EUR
43,Elvyn,Vial,5108756690084402,94,CNY
44,Salem,Ortiga,3540220654023808,48,EUR
45,Ekaterina,Sofe,63041615925458048,1,RUB
46,Valene,Haselup,5100133712371597,40,CUP
47,Revkah,Husthwaite,493616453816534923,52,PLN
48,Gabriela,Muller,4041591663539,29,UAH
49,Lesya,Worley,5007669897998872,56,RUB
50,Lorrin,Pioch,3586887492699646,61,CNY
51,Freeland,Viner,3570929558361568,14,CAD
52,Shayne,MacAllister,3580037812351355,42,CNY
53,Skylar,Kench,3563848936977854,97,CNY
54,Isabel,Andreia,3544996637889805,22,GHS
55,Olympie,Hance,6759151250826270814,99,AZN
56,Gardiner,Petrolli,3557365915454357,21,IDR
57,Wynnie,Fallens,3579305258283942,92,PHP
58,Manuel,Piddlehinton,3572163378211542,92,CNY
59,Frankie,Firpo,6333776267845972,6,IDR
60,Harlen,McNee,3539045295718398,74,RUB
61,Nana,Sherville,5048372336662420,65,IDR
62,Cullie,Cartmel,4026497891833691,93,MNT
63,Chrysler,Yekel,6762418347608464,2,IRR
64,Dyanne,Abbotson,3534638083649240,23,EUR
65,Nerita,Banbrick,4917178081990408,38,MAD
66,Nance,Dourin,3534707292999462,86,THB
67,Rodi,Extance,377514855306135,22,CRC
68,Honor,Elderkin,5100141142274919,5,SEK
69,Amie,Baldry,5602240388477625,33,EUR
70,Sayre,Tarbox,5458521222744311,5,CNY
71,Bobbette,Ryhorovich,3574067339729096,41,IDR
72,Kissee,Norres,3580000635014295,11,IRR
73,Stevena,Raubenheim,374622301074182,85,RUB
74,Mavra,Saladine,3588441218110401,4,EUR
75,Pietra,Sicha,3556327191949790,7,PLN
76,Jake,Pinare,30378824998631,20,CNY
77,Chlo,Domenicone,3537667163316757,99,CNY
78,Zulema,Singh,3528194503528703,9,SDG
79,Patricio,Shirtcliffe,5602244653392675,81,SDG
80,Karly,Hessing,3561968599819086,57,RUB
81,Michaelina,Zambonini,3567875954459552,25,EUR
82,Gabriella,Jory,201517344006234,38,MWK
83,Onfroi,Torra,4917189791240349,1,IDR
84,Claybourne,Lemarie,201426846480816,46,SEK
85,Julianne,Cubberley,3546639690649041,91,MMK
86,Rhodie,Pinnegar,4405581433661230,79,COP
87,Joseito,MacNeilley,5602220316080626791,24,EUR
88,Freeman,Stanger,3586323685504393,29,PHP
89,Dulcea,Crack,5100137907324790,89,SEK
90,Fleurette,Ingleson,3554762504249177,63,IDR
91,Dotty,Downse,67066336580299327,50,BDT
92,Farris,Naire,3589734083955515,75,CNY
